70;159;201;70;160;203;Si
33;148;110;44;145;107;Si
157;69;29;156;70;30;Si
76;118;16;78;119;21;Si
108;144;204;112;143;196;Si
108;144;204;107;143;197;Si
148;116;179;149;121;181;Si
148;116;179;147;117;178;Si
70;159;201;77;160;192;Si
33;148;110;40;144;107;Si
70;159;201;70;159;199;Si
148;116;179;147;117;173;Si
76;118;16;82;119;23;Si
70;159;201;74;162;200;Si
148;116;179;147;117;169;Si
164;83;123;167;88;127;Si
76;118;16;75;119;21;Si
33;148;110;36;151;115;Si
157;69;29;154;71;32;Si
174;89;96;173;92;95;Si
157;69;29;156;70;30;Si
174;89;96;171;90;95;Si
174;89;96;173;95;101;Si
70;159;201;71;160;203;Si
76;118;16;78;119;21;Si
148;116;179;144;118;169;Si
148;116;179;147;121;170;Si
76;118;16;78;119;21;Si
108;144;204;112;145;204;Si
108;144;204;107;143;197;Si
108;144;204;114;145;207;Si
164;83;123;165;89;126;Si
129;94;14;126;92;21;Si
148;116;179;143;118;167;Si
108;144;204;118;147;208;Si
164;83;123;163;86;118;Si
129;94;14;127;93;19;Si
35;150;150;40;149;147;Si
164;83;123;159;86;122;Si
174;89;96;173;95;101;Si
35;150;150;47;151;148;Si
35;150;150;48;151;148;Si
174;89;96;175;92;94;Si
148;116;179;147;121;170;Si
35;150;150;41;145;144;Si
35;150;150;33;148;147;Si
164;83;123;166;84;125;Si
33;148;110;51;149;112;Si
108;144;204;108;140;196;Si
76;118;16;78;121;23;Si
129;94;14;126;92;21;Si
35;150;150;36;151;154;Si
174;89;96;175;96;99;Si
148;116;179;147;117;169;Si
76;118;16;78;121;19;Si
33;148;110;41;148;112;Si
164;83;123;166;88;127;Si
174;89;96;177;96;99;Si
129;94;14;129;96;18;Si
70;159;201;70;156;200;Si
76;118;16;78;115;20;Si
76;118;16;78;115;20;Si
70;159;201;70;160;203;Si
148;116;179;143;115;167;Si
174;89;96;175;96;100;Si
76;118;16;78;121;23;Si
33;148;110;51;149;112;Si
33;148;110;51;151;115;Si
148;116;179;143;115;167;Si
70;159;201;69;159;193;Si
70;159;201;70;158;208;Si
33;148;110;40;144;107;Si
76;118;16;81;121;21;Si
129;94;14;133;100;18;Si
33;148;110;45;149;115;Si
70;159;201;71;160;203;Si
70;159;201;80;160;200;Si
129;94;14;127;93;19;Si
33;148;110;48;151;112;Si
129;94;14;129;96;18;Si
33;148;110;36;151;115;Si
129;94;14;129;92;18;Si
129;94;14;127;92;19;Si
129;94;14;129;96;19;Si
129;94;14;125;95;16;Si
197;3;200
